Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
Nonferrous metal foundries,33152,52,51.2,50.9,50.8,51,-,-
Fabricated metal product manufacturing,332,1434.6,1440.2,1435.9,1440.7,1439.5,1443.5,4
Forging and stamping,3321,91.1,90.5,90.6,90.9,91,-,-
Architectural and structural metals manufacturing,3323,413.2,427.8,426.5,427,426.8,-,-
Plate work and fabricated structural product manufacturing,33231,188,194,192.8,193,192.5,-,-
Fabricated structural metal manufacturing,332312,98.6,103.1,102.9,103.4,103.8,-,-
Plate work and prefabricated metal building and component manufacturing,"332311,3",89.4,90.9,89.9,89.6,88.7,-,-
Ornamental and architectural metal products manufacturing,33232,225.2,233.8,233.7,234,234.3,-,-
Metal window and door manufacturing,332321,66.1,68.2,67.5,67.7,68,-,-
Sheet metal work manufacturing,332322,116.6,121.6,121.9,122.6,122.7,-,-
Ornamental and architectural metal work manufacturing,332323,42.5,44,44.3,43.7,43.6,-,-
"Boiler, tank, and shipping container manufacturing",3324,96.9,92.8,92.2,93.4,92.3,-,-
"Hardware, spring, and wire product manufacturing","3325,6",61.5,59.9,60.5,60.2,61.2,-,-
"Machine shops; turned product; and screw, nut, and bolt manufacturing",3327,329.8,325.6,325.1,326.5,324.9,-,-
Machine shops,33271,255.7,253.8,252.5,253.7,252,-,-
"Turned product and screw, nut, and bolt manufacturing",33272,74.1,71.8,72.6,72.8,72.9,-,-
"Coating, engraving, heat treating, and allied activities",3328,128.7,128.4,128,128.5,128.9,-,-
"Metal heat treating, coating, engraving (except jewelry and silverware), and allied services to manufacturers","332811,2",77.4,77.5,77.6,78,78.1,-,-
"Electroplating, plating, polishing, anodizing, and coloring",332813,51.3,50.9,50.4,50.5,50.8,-,-
"Cutlery, handtool, and other fabricated metal product manufacturing",3329,313.4,315.2,313,314.2,314.4,-,-
Metal valve manufacturing,33291,91.1,90.2,89.6,89.6,89.9,-,-
"Cutlery, handtool, and all other fabricated metal product manufacturing",33299,222.3,225,223.4,224.6,224.5,-,-
"Small arms, ammunition, and other ordnance and ordnance accessories manufacturing","332992,3,4",52.7,52.5,52.6,52.3,52.3,-,-
"Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing","332200;991,9",169.6,172.5,170.8,172.3,172.2,-,-
Machinery manufacturing,333,1114.5,1104,1102.9,1103.3,1105.2,1103.8,-1.4
"Agriculture, construction, and mining machinery manufacturing",3331,210.9,205.3,207.1,208.3,208.9,-,-
Agricultural implement manufacturing,33311,81.2,79.5,79.1,80.7,80.6,-,-
Construction machinery manufacturing,33312,74.2,70.4,72.5,72.4,73.1,-,-
Mining and oil and gas field machinery manufacturing,33313,55.5,55.4,55.5,55.2,55.2,-,-
Industrial machinery manufacturing,3332,135,133,133.1,132.7,132.2,-,-
All other industrial machinery manufacturing,333248,70.5,70.1,70.3,69.9,67.8,-,-
Commercial and service industry machinery manufacturing,3333,89.6,92.4,91.4,91.2,90.3,-,-
"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3334,149.4,150.3,149.2,148.5,149.9,-,-
Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing,333415,99.1,98.6,98.2,98.8,99.3,-,-
Metalworking machinery manufacturing,3335,154.2,151,150.4,151.2,151,-,-
"Special die and tool, die set, jig, and fixture manufacturing",333514,50.6,49.4,49.4,49.9,49.9,-,-
Machine tool manufacturing,333517,41.3,40.6,40.6,41.1,41.7,-,-
"Industrial mold, cutting tool and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","333511,5,9",62.3,61,60.4,60.2,59.4,-,-
"Engine, turbine, and power transmission equipment manufacturing",3336,93,92.1,92.4,92.5,92.8,-,-
Other general purpose machinery manufacturing,3339,282.4,279.9,279.3,278.9,280.1,-,-
Pump and compressor manufacturing,33391,47.5,47.4,47,47.7,48.1,-,-
Material handling equipment manufacturing,33392,97.6,96.8,96.8,95.7,96,-,-
All other general purpose machinery manufacturing,33399,137.3,135.7,135.5,135.5,136,-,-
Computer and electronic product manufacturing,334,1016.2,1007.1,1000.7,997.3,995.4,997.1,1.7
Computer and peripheral equipment manufacturing,3341,111.9,110.5,109.8,108.1,108.1,108.2,0.1
Electronic computer manufacturing,334111,67.2,67.5,66.8,65.2,65.4,-,-
"Computer storage device, terminal, and other peripheral equipment manufacturing","334112,8",44.7,43,43,42.9,42.7,-,-
Communications equipment manufacturing,3342,81.9,82.9,83.3,83.8,83.5,83.7,0.2
Radio and television broadcasting and wireless communications equipment manufacturing,33422,50.1,50.7,50.6,50.8,50.9,-,-
Semiconductor and other electronic component manufacturing,3344,382.8,372.8,367.7,364.4,364.1,364.2,0.1
Semiconductor and related device manufacturing,334413,194.4,185.1,180.7,179.2,179.1,-,-
Bare printed circuit board and printed electronic circuit assembly manufacturing,"334412,8",84.3,84.5,84.1,83.7,83.8,-,-
"Capacitor, resistor, coil, transformer, other inductor, electronic connector, and other electronic component manufacturing","334416,7,9",104.1,103.2,102.9,101.5,101.2,-,-
"Navigational, measuring, electromedical, and control instruments manufacturing",3345,410.1,412,411.7,413.1,412,413.7,1.7
Electromedical and electrotherapeutic apparatus manufacturing,334510,75.4,78,78.4,77.5,78.9,-,-
"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing",334511,121,121.7,121,122,121.7,-,-
"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables",334513,56,55.2,55.9,56.4,54.8,-,-
Instrument manufacturing for measuring and testing electricity and electrical signals,334515,35.4,35.5,35.3,35.8,35.6,-,-
Miscellaneous electronic instruments manufacturing,"334512,4,6-9",122.3,121.6,121.1,121.4,121,-,-
Manufacturing and reproducing magnetic and optical media and audio and video equipment manufacturing,"3343,6",29.5,28.9,28.2,27.9,27.7,27.3,-0.4
"Electrical equipment, appliance, and component manufacturing",335,407.4,405.8,406,407.4,409.3,409.7,0.4
Electric lighting equipment manufacturing,3351,33.3,32.2,32.5,32.4,32.5,-,-
Household appliance manufacturing,3352,59.4,57.4,56.8,56.8,56.9,-,-
Electrical equipment manufacturing,3353,150.9,153.1,154.7,155.9,156.3,-,-
"Power, distribution, and specialty transformer manufacturing",335311,32.8,32.1,33,33.2,33,-,-
"Motor, generator, switchgear and switchboard apparatus, and relay and industrial control manufacturing","335312,3,4",118.1,121,121.7,122.7,123.3,-,-
Other electrical equipment and component manufacturing,3359,163.8,163.1,162,162.3,163.6,-,-
Battery manufacturing,33591,53,53.4,53,53.2,54,-,-
"Wiring device, communication and energy wire and cable, and all other electrical equipment and component manufacturing","33592,3,9",110.8,109.7,109,109.1,109.6,-,-
Transportation equipment manufacturing,336,1792.3,1764.1,1757.3,1747.1,1753.9,1765.7,11.8
Motor vehicles and parts(1),"3361,2,3",1019.7,994.5,992.8,981.1,982.7,991.3,8.6
Motor vehicle manufacturing,3361,309.6,302.3,302,293.8,301.2,-,-
Motor vehicle body and trailer manufacturing,3362,163.4,161,161.3,161,158.3,-,-
Motor vehicle parts manufacturing,3363,546.7,531.2,529.5,526.3,523.2,-,-
Motor vehicle gasoline engine and engine parts manufacturing,33631,55.9,53.7,53.7,54,53.5,-,-
Motor vehicle electrical and electronic equipment manufacturing,33632,57,58.6,58.1,57.3,57.1,-,-
Motor vehicle transmission and power train parts manufacturing,33635,76.4,75,74,74,73.6,-,-
Motor vehicle metal stamping,33637,80.1,77.6,77.5,76.5,75.7,-,-
"Motor vehicle steering and suspension components, except spring; brake system, seating, interior trim, and other motor vehicle parts manufacturing","33633,4,6,9",277.3,266.3,266.2,264.5,263.3,-,-
Aerospace product and parts manufacturing,3364,559.1,558.3,553.8,556.4,562.3,-,-
Aircraft manufacturing,336411,252.6,244.7,241.7,242.8,246.5,-,-
Aircraft engine and engine parts manufacturing,336412,94.8,97.5,97,98.3,99.1,-,-
Other aircraft parts and auxiliary equipment manufacturing,336413,104.3,107.6,107.4,107.4,108.2,-,-
"Guided missile; space vehicle; and guided missile and space vehicle propulsion unit, parts, and auxiliary equipment manufacturing","336414,5,9",107.4,108.5,107.7,107.9,108.5,-,-
Ship and boat building,3366,147.8,145.9,144.9,145.2,145.1,-,-
Ship building and repairing,336611,106.9,105.2,104.6,104.4,104.5,-,-
Boat building,336612,40.9,40.7,40.3,40.8,40.6,-,-
Railroad rolling stock and other transportation equipment manufacturing,"3365,9",65.7,65.4,65.8,64.4,63.8,-,-
Furniture and related product manufacturing,337,338.9,341.8,337.5,335.1,335.6,334.8,-0.8
Household and institutional furniture and kitchen cabinet manufacturing,3371,214.3,214,210.9,210.2,210.3,-,-
Wood kitchen cabinet and countertop manufacturing,33711,113.6,113.4,111.7,110.8,110.5,-,-
Household and institutional furniture manufacturing,33712,100.7,100.6,99.2,99.4,99.8,-,-
Upholstered household furniture manufacturing,337121,44.7,43.8,43.9,43.5,44.3,-,-
Nonupholstered household furniture and institutional furniture manufacturing,"337122,6,7",56,56.8,55.3,55.9,55.5,-,-
Office furniture (including fixtures) and other furniture related product manufacturing,3372,124.6,127.8,126.6,124.9,125.3,-,-
Office furniture and custom architectural woodwork and millwork manufacturing,"337211,2,4",63,64.4,63.8,62.7,63.5,-,-
"Showcase, partition, shelving, locker, and other furniture related product manufacturing",337215,61.6,63.4,62.8,62.2,61.8,-,-
Miscellaneous manufacturing,339,615.7,612.3,606.6,607.6,606.1,609.6,3.5
Medical equipment and supplies manufacturing,3391,332.5,326.3,323,322.9,321.9,-,-
Surgical and medical instrument manufacturing,339112,144.3,143.4,142.9,143.1,142.7,-,-
Surgical appliance and supplies manufacturing,339113,103.7,104.8,103.7,102.9,101.6,-,-
Dental laboratories,339116,42.4,40.5,38.7,39.3,40,-,-
Other miscellaneous manufacturing,3399,283.2,286,283.6,284.7,284.2,-,-
"Jewelry, silverware, and sporting and athletic goods manufacturing","33991,2",63.1,62,61.6,61.5,61.2,-,-
Sign manufacturing,33995,76.4,77.6,76.9,76.3,75.4,-,-
"Doll, toy, game, office supplies (except paper), and all other miscellaneous manufacturing","33993,4,9",143.7,146.4,145.1,146.9,147.6,-,-
,,,,,,,,
Nondurable goods,,4852,4876,4859,4859,4846,4839,-7
Food manufacturing,311,1777.9,1788,1783,1780.3,1773.4,1774.5,1.1
Animal food manufacturing,3111,76.3,76.5,76.5,76.2,76.9,-,-
Grain and oilseed milling,3112,68.4,68.6,67.5,68.1,68.3,-,-
Sugar and confectionery product manufacturing,3113,85.3,75.6,77,79.8,79.1,-,-
Chocolate and confectionery manufacturing,31135,44.2,38.6,38.1,38.2,38.8,-,-
Fruit and vegetable preserving and specialty food manufacturing,3114,172.2,195.4,193.8,183.8,177,-,-
Frozen food manufacturing,31141,96.4,104.7,103.7,100.4,98.7,-,-
"Frozen fruit, juice, and vegetable manufacturing",311411,28.4,38.3,37.6,35.1,32.8,-,-
Frozen specialty food manufacturing,311412,68,66.4,66.1,65.3,65.9,-,-
"Fruit and vegetable canning, pickling, and drying",31142,75.8,90.7,90.1,83.4,78.3,-,-
Dairy product manufacturing,3115,167.9,174.9,172.8,172.8,171.6,-,-
Fluid milk manufacturing,311511,56.8,57.6,57.5,57.9,58.3,-,-
Animal slaughtering and processing,3116,565.1,558.9,562,566.8,569.5,-,-
"Animal, except poultry, slaughtering",311611,150.9,146.2,146.7,148.1,149.4,-,-
"Meat processed from carcasses, rendering, and meat byproduct processing","311612,3",162.6,159.1,161.4,162.7,164.2,-,-
Poultry processing,311615,251.6,253.6,253.9,256,255.9,-,-
Seafood product preparation and packaging,3117,25,30,28.4,27.7,23.9,-,-
Bakeries and tortilla manufacturing,3118,356.6,350.9,350.9,350.5,351.3,-,-
Bread and bakery product manufacturing,31181,275.2,271,271.2,271.2,271.4,-,-
Retail bakeries,311811,109.4,106.2,103.9,105.8,106.6,-,-
"Commercial bakeries and frozen cakes, pies, and other pastries manufacturing","311812,3",165.8,164.8,167.3,165.4,164.8,-,-
"Cookie, cracker, pasta, and tortilla manufacturing","31182,3",81.4,79.9,79.7,79.3,79.9,-,-
Other food manufacturing,3119,261.1,257.2,254.1,254.6,255.8,-,-
Snack food manufacturing,31191,65.7,63.8,63.2,62.9,62.6,-,-
"Coffee, tea, flavoring syrup and concentrate, seasoning, dressing, and other food manufacturing","31192,3,4,9",195.4,193.4,190.9,191.7,193.2,-,-
Textile mills,313,86.1,84.8,85.7,85.2,84.4,84.5,0.1
Fabric mills,3132,42.8,42,42.4,42.4,42,-,-
Textile product mills,314,99.8,97.7,97.4,98.2,98.3,99.5,1.2
Textile furnishings mills,3141,37.7,36.8,36.7,36.9,37.2,-,-
Other textile product mills,3149,62.1,60.9,60.7,61.3,61.1,-,-
Apparel manufacturing,315,83.5,82.1,81.9,81.5,80.6,79.2,-1.4
Cut and sew apparel manufacturing (except contractors),31525,46.5,44.9,45.2,44.4,44.7,-,-
Paper manufacturing,322,355.8,356.4,356.3,357.1,356.8,357.2,0.4
"Pulp, paper, and paperboard mills",3221,83.5,82.4,83.1,81.6,82,-,-
Converted paper product manufacturing,3222,272.3,274,273.2,275.5,274.8,-,-
Paperboard container manufacturing,32221,162.1,161.9,161.2,162.7,161.6,-,-
Paper bag and coated and treated paper manufacturing,32222,53.9,54.9,55,55.1,54.7,-,-
Stationery and other converted paper products,"32223,9",56.3,57.2,57,57.7,58.5,-,-
Printing and related support activities,323,355.5,348.1,347.4,346.5,346.8,348,1.2
Commercial screen printing,323113,72.4,70.9,71.3,72.2,71.7,-,-
Commercial and book printing (except screen) and support activities for printing,"323111,17,20",283.1,277.2,276.1,274.3,275.1,-,-
Petroleum and coal products manufacturing,324,105.2,109.1,109.2,108.5,107.5,105.3,-2.2
Petroleum refineries,32411,61.5,61.2,60.5,60.7,60.8,-,-
"Asphalt paving, roofing, saturated materials, and other petroleum and coal products manufacturing","32412,9",43.7,47.9,48.7,47.8,46.7,-,-
Chemical manufacturing,325,902,908.3,904,906.4,907.1,907.1,0
