Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
All other business support services,561499,88.3,90.4,89.6,90.1,88.7,-,-
Travel arrangement and reservation services,5615,190.3,196.1,193.8,197.8,196.7,195.5,-1.2
Travel agencies,56151,79.2,77.1,76.8,79,79.2,-,-
Tour operators,56152,21.5,25.7,26,25.8,25.4,-,-
Other travel arrangement and reservation services,56159,89.6,93.3,91,93,92.1,-,-
Investigation and security services,5616,1034.5,1036.5,1042.8,1046.8,1045.6,1041.1,-4.5
"Investigation, guard, and armored car services",56161,876.2,880,885.7,887.4,883.2,-,-
Investigation and personal background check services,561611,38.9,37.9,38.2,39.9,39.3,-,-
"Security guards, patrol services, and armored car services","561612,3",837.3,842.1,847.5,847.5,843.9,-,-
Security systems services,56162,158.3,156.5,157.1,159.4,162.4,-,-
Services to buildings and dwellings,5617,2218.8,2425.3,2383,2369.5,2327.9,2242.3,-85.6
Exterminating and pest control services,56171,152.6,161.7,159.7,158.2,155.8,-,-
Janitorial services,56172,1082.7,1085,1077.1,1079,1076.8,-,-
Landscaping services,56173,834.7,1005.3,983,968.5,935.7,-,-
Carpet and upholstery cleaning services,56174,35.5,33.6,33.7,33,33.2,-,-
Other services to buildings and dwellings,56179,113.3,139.7,129.5,130.8,126.4,-,-
Other support services,5619,324.3,334.2,336.6,341.8,341.5,336.2,-5.3
Packaging and labeling services,56191,64.4,63.9,63.9,63.4,63.5,-,-
Convention and trade show organizers,56192,53.5,55.4,57,59.8,60.1,-,-
All other support services,56199,206.4,214.9,215.7,218.6,217.9,-,-
Waste management and remediation services,562,517.9,526.4,522.4,522.2,521,518.1,-2.9
Waste collection,5621,218.7,223.2,222.4,221.9,223.1,-,-
Solid waste collection,562111,188.3,192.6,192.2,191.2,192.1,-,-
Hazardous and other waste collection,"562112,9",30.4,30.6,30.2,30.7,31,-,-
Waste treatment and disposal,5622,109.9,107.2,106.7,107,106.6,-,-
Hazardous waste treatment and disposal,562211,43.9,40.4,40.4,40.3,39.8,-,-
"Solid waste landfill, combustors, and incinerators and other nonhazardous waste treatment and disposal","562212,3,9",66,66.8,66.3,66.7,66.8,-,-
Remediation and other waste management services,5629,189.3,196,193.3,193.3,191.3,-,-
Remediation services,56291,104.3,108.4,105.9,106.2,106,-,-
Materials recovery facilities and other waste management services,"56292,9",85,87.6,87.4,87.1,85.3,-,-
,,,,,,,,
Private education and health services,,27093,27184,27445,27738,27860,27793,-67
Private educational services,61,4055.8,3741.5,3979.4,4117.4,4142.2,4047.5,-94.7
Private elementary and secondary schools,6111,1238,1184.4,1240.8,1268.8,1272.9,-,-
"Private junior colleges, colleges, universities, and professional schools","6112,3",1847.4,1585.1,1790.7,1868.6,1880.8,-,-
Private business schools and computer and management training,6114,85.3,82.7,81.9,82.6,81.5,-,-
Private business and secretarial schools and private computer training,"61141,2",19.4,17.8,17.2,17.6,17.3,-,-
Private professional and management development training,61143,65.9,64.9,64.7,65,64.2,-,-
Private technical and trade schools,6115,130.8,123.3,120.4,126.4,126,-,-
Private flight training,611512,27.2,25.4,23.8,24.8,24.2,-,-
Private cosmetology and barber schools and apprenticeship training,"611511,3",37.9,32.6,32.8,35.7,35.4,-,-
Other private technical and trade schools,611519,65.7,65.3,63.8,65.9,66.4,-,-
Other private schools and instruction,6116,548.2,561.3,541.2,559.1,566.3,-,-
Private fine arts schools,61161,143,144.5,143.8,153.3,153.5,-,-
Private sports and recreation instruction,61162,179.4,186.2,167.3,168.8,171.5,-,-
Private language schools and all other private schools and instruction,"61163,9",225.8,230.6,230.1,237,241.3,-,-
Private exam preparation and tutoring,611691,105.3,105.1,106,112.1,114.8,-,-
Private miscellaneous schools and instruction,611699,83.7,91.8,86.8,86.3,88.9,-,-
Private educational support services,6117,206.1,204.7,204.4,211.9,214.7,-,-
Health care and social assistance,62,23037.6,23442.7,23465.2,23620.2,23717.8,23745.6,27.8
Health care(3),"621,2,3",18034.7,18225.6,18238.9,18341.9,18424,18439.8,15.8
Ambulatory health care services,621,8990.3,9007.4,9015,9102,9150.1,9150.2,0.1
Offices of physicians,6211,3041.8,3063,3065.5,3095.4,3105.3,3115.2,9.9
Offices of physicians (except mental health specialists),621111,2957,2975.4,2975.7,3007,3014.9,-,-
"Offices of physicians, mental health specialists",621112,84.8,87.6,89.8,88.4,90.4,-,-
Offices of dentists,6212,1053.2,1058.4,1048.1,1061.8,1070,1067.8,-2.2
Offices of other health practitioners,6213,1272,1279.4,1278,1294.3,1300.5,1297.9,-2.6
Offices of chiropractors,62131,146.5,142.2,141.1,143.5,143.3,-,-
Offices of optometrists,62132,156.1,161,160.9,162.8,164.2,-,-
Offices of mental health practitioners (except physicians),62133,264.9,276.6,276.9,282.7,283.5,-,-
"Offices of physical, occupational and speech therapists, and audiologists",62134,506.7,502.7,502.7,509.1,510.6,-,-
Offices of all other health practitioners,62139,197.8,196.9,196.4,196.2,198.9,-,-
Offices of podiatrists,621391,32.1,31.9,31.4,31.2,31.9,-,-
Offices of all other miscellaneous health practitioners,621399,165.7,165,165,165,167,-,-
Outpatient care centers,6214,1123.2,1117.4,1122.2,1128.5,1134.8,1134.5,-0.3
Outpatient mental health and substance abuse centers,62142,321.7,324.8,328.7,330.9,334.1,-,-
Other outpatient care centers,"62141,9",801.5,792.6,793.5,797.6,800.7,-,-
HMO medical centers,621491,209.6,202.3,203.1,203.6,205,-,-
Kidney dialysis centers,621492,126.9,125.2,124.9,125.6,126.3,-,-
Freestanding ambulatory surgical and emergency centers,621493,180.3,174.7,175.2,176.6,176,-,-
Family planning and all other outpatient care centers,"621410,98",284.7,290.4,290.3,291.8,293.4,-,-
Medical and diagnostic laboratories,6215,306,311.1,310.8,314.1,315.4,314.7,-0.7
Medical laboratories,621511,220,222.4,221.5,223.4,224.2,-,-
Diagnostic imaging centers,621512,86,88.7,89.3,90.7,91.2,-,-
Home health care services,6216,1835.6,1815.5,1825.9,1841.7,1855.5,1851.7,-3.8
Other ambulatory health care services,6219,358.5,362.6,364.5,366.2,368.6,368.4,-0.2
Ambulance services,62191,171.9,175.9,176.8,178.1,180.7,-,-
All other ambulatory health care services,62199,186.6,186.7,187.7,188.1,187.9,-,-
Blood and organ banks,621991,86.3,87.4,87.9,87.6,87.8,-,-
All other miscellaneous ambulatory health care services,621999,100.3,99.3,99.8,100.5,100.1,-,-
Hospitals,622,5654.9,5762.9,5780.5,5788,5808.5,5816.9,8.4
General medical and surgical hospitals,6221,5167.6,5278.2,5293,5300.9,5321.6,-,-
Psychiatric and substance abuse hospitals,6222,167.3,163.7,165.7,163,162.1,-,-
"Specialty, except psychiatric and substance abuse, hospitals",6223,320,321,321.8,324.1,324.8,-,-
Nursing and residential care facilities,623,3389.5,3455.3,3443.4,3451.9,3465.4,3472.7,7.3
Skilled nursing care facilities,6231,1522.5,1563.1,1557.8,1561.7,1568.7,1565.9,-2.8
"Residential intellectual and developmental disability, mental health, and substance abuse facilities",6232,689.3,703.2,702.1,704.2,709,712.1,3.1
Residential intellectual and developmental disability facilities,62321,416,426.1,425.2,428.3,429.3,-,-
Residential mental health and substance abuse facilities,62322,273.3,277.1,276.9,275.9,279.7,-,-
Continuing care retirement communities and assisted living facilities for the elderly,6233,1007.6,1014,1008.5,1011.6,1013.7,1019.8,6.1
Continuing care retirement communities,623311,493.1,495.2,492.1,495.1,498.8,-,-
Assisted living facilities for the elderly,623312,514.5,518.8,516.4,516.5,514.9,-,-
Other residential care facilities,6239,170.1,175,175,174.4,174,174.9,0.9
Social assistance,624,5002.9,5217.1,5226.3,5278.3,5293.8,5305.8,12
Individual and family services,6241,3374.8,3602.7,3608.9,3646.2,3655.4,3660.3,4.9
Child and youth services,62411,237.1,236.4,235.2,239.7,240.4,-,-
Services for the elderly and persons with disabilities,62412,2610.4,2842.9,2848,2871.2,2878,-,-
Other individual and family services,62419,527.3,523.4,525.7,535.3,537,-,-
"Community food and housing, and emergency and other relief services",6242,238.2,238.6,237.7,240,242.1,243,0.9
Community food services,62421,51.6,52,51.3,51.3,52.6,-,-
"Community housing, emergency, and relief services","62422,3",186.6,186.6,186.4,188.7,189.5,-,-
Vocational rehabilitation services,6243,286.1,285.2,280.1,280.4,283.3,285.2,1.9
Child care services,6244,1103.8,1090.6,1099.6,1111.7,1113,1117.3,4.3
,,,,,,,,
Leisure and hospitality,,16672,17692,17197,17093,16911,16861,-50
"Arts, entertainment, and recreation",71,2510.9,2982.1,2760.3,2675.3,2569.1,2549.3,-19.8
"Performing arts, spectator sports, and related industries",711,599.3,663.4,664.3,653.1,640.7,631.9,-8.8
Performing arts companies,7111,149,152,157.3,164.6,171,-,-
Musical groups and artists,71113,40.9,38.3,42.9,48.3,50.9,-,-
"Theater, dance, and other performing arts companies and dinner theaters","71111,2,9",108.1,113.7,114.4,116.3,120.1,-,-
Spectator sports,7112,154.3,211.3,205.4,179.4,171,-,-
Sports teams and clubs,711211,108.8,154.5,150.6,130.3,123.5,-,-
Racetracks and other spectator sports,"711212,9",45.5,56.8,54.8,49.1,47.5,-,-
Arts and sports promoters and agents and managers for public figures,"7113,4",227.2,237.9,238.8,241.5,234.4,-,-
"Independent artists, writers, and performers",7115,68.8,62.2,62.8,67.6,64.3,-,-
"Museums, historical sites, and similar institutions",712,177.7,192.5,185.5,185.2,183.1,181.9,-1.2
Museums,71211,101.9,108.1,106.3,106,105.2,-,-
"Historical sites, zoos, botanical gardens, nature parks, and other similar institutions","71212,3,9",75.8,84.4,79.2,79.2,77.9,-,-
"Amusement, gambling, and recreation industries",713,1733.9,2126.2,1910.5,1837,1745.3,1735.5,-9.8
Amusement parks and arcades,7131,209.6,266.7,242.8,226.2,202.9,-,-
Gambling industries,7132,126.6,127,126.3,126.7,127.7,-,-
"Casinos, except casino hotels",71321,65.1,66.3,66.1,65.8,66.5,-,-
Other gambling industries,71329,61.5,60.7,60.2,60.9,61.2,-,-
Other amusement and recreation industries,7139,1397.7,1732.5,1541.4,1484.1,1414.7,-,-
Golf courses and country clubs,71391,361.8,530.4,471.5,445.8,392.6,-,-
Skiing facilities,71392,80,28.5,26.7,27.3,40.4,-,-
Marinas,71393,34.9,51.6,41.3,38.4,36.8,-,-
Fitness and recreational sports centers,71394,627.2,719.3,653.4,633.9,637.6,-,-
Bowling centers,71395,73.1,72.6,74.3,75.6,77.5,-,-
All other amusement and recreation industries,71399,220.7,330.1,274.2,263.1,229.8,-,-
Accommodation and food services,72,14161.1,14709.8,14436.3,14417.5,14342.1,14311.4,-30.7
Accommodation,721,1889.5,2068.4,1973,1924.1,1889.3,1889.1,-0.2
Traveler accommodation,7211,1844.3,1953.8,1902,1864.6,1838.4,-,-
Hotels (except casino hotels) and motels,72111,1549.2,1644.4,1596.8,1560.7,1541,-,-
Casino hotels,72112,252.5,258.4,256.6,256.9,254.5,-,-
Other traveler accommodation,72119,42.6,51,48.6,47,42.9,-,-
Bed-and-breakfast inns,721191,13.1,18,17.5,17,14.5,-,-
"All other traveler accommodation and rooming and boarding houses, dormitories, and workers' camps",721310199,29.5,33,31.1,30,28.4,-,-
Recreational vehicle (RV) parks and recreational camps,7212,45.2,114.6,71,59.5,50.9,-,-
Food services and drinking places,722,12271.6,12641.4,12463.3,12493.4,12452.8,12422.3,-30.5
Special food services,7223,819.5,760.9,825.8,829,818.8,-,-
Food service contractors,72231,586.7,521.4,577.3,578.6,572.9,-,-
Caterers and mobile food services,"72232,3",232.8,239.5,248.5,250.4,245.9,-,-
"Drinking places, alcoholic beverages",7224,423.1,447.8,445.7,445.5,441.9,-,-
Restaurants and other eating places,7225,11029,11432.7,11191.8,11218.9,11192.1,-,-
Full-service restaurants,722511,5362.7,5567.5,5458.3,5452.3,5435.5,-,-
Limited-service restaurants,722513,4634.9,4756.5,4655.6,4683.9,4679.4,-,-
"Cafeterias, grill buffets, and buffets",722514,79.4,78.9,76.4,77.1,75.3,-,-
Snack and nonalcoholic beverage bars,722515,952,1029.8,1001.5,1005.6,1001.9,-,-
,,,,,,,,
Other services,81,5982,6106,6036,6050,6049,6042,-7
Repair and maintenance,811,1465.5,1497.2,1486.9,1488.7,1485.1,1477.3,-7.8
Automotive repair and maintenance,8111,1035.8,1057.2,1048.1,1047,1043.8,-,-
Automotive mechanical and electrical repair and maintenance,81111,444.2,449.4,446.3,446.5,445.9,-,-
General automotive repair,811111,400.3,407.2,403.2,403.4,403.4,-,-
Specialized automotive repair,811114,43.9,42.2,43.1,43.1,42.5,-,-
"Automotive body, paint, interior, and glass repair",81112,298.9,299.6,297.1,295.3,294.8,-,-
"Automotive body, paint, and interior repair and maintenance",811121,261.1,259.3,257.4,256,255.7,-,-
Automotive glass replacement shops,811122,37.8,40.3,39.7,39.3,39.1,-,-
Other automotive repair and maintenance,81119,292.7,308.2,304.7,305.2,303.1,-,-
Car washes,811192,185.7,194.2,190.9,187.5,186.2,-,-
Automotive oil change and lubrication shops and all other automotive repair and maintenance,"811191,8",107,114,113.8,117.7,116.9,-,-
Electronic and precision equipment repair and maintenance,8112,105.1,101.3,101.6,102,103,-,-
Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,8113,245.5,253.2,252.1,255.1,253.8,-,-
Personal and household goods repair and maintenance,8114,79.1,85.5,85.1,84.6,84.5,-,-
Personal and laundry services,812,1611.1,1639.9,1627.1,1634.4,1631.5,1635.7,4.2
Personal care services,8121,780.4,795.5,788.8,795.7,792.7,-,-
"Hair, nail, and skin care services",81211,580.9,581.7,577.1,581.7,578.6,-,-
Barber shops and beauty salons,"812111,2",426.5,417.3,414.3,416.9,414.8,-,-
Nail salons,812113,154.4,164.4,162.8,164.8,163.8,-,-
Other personal care services,81219,199.5,213.8,211.7,214,214.1,-,-
Death care services,8122,134,135.2,135.9,139,137.5,-,-
Funeral homes and funeral services,81221,102.5,100.6,100.8,103.7,104,-,-
Cemeteries and crematories,81222,31.5,34.6,35.1,35.3,33.5,-,-
Drycleaning and laundry services,8123,263.1,268.8,266.6,263.5,264.3,-,-
Coin-operated laundries and drycleaners,81231,39.4,43.4,44,42.5,43.4,-,-
"Drycleaning and laundry services, except coin-operated",81232,92,90.6,88.8,87.1,86.5,-,-
Linen and uniform supply,81233,131.7,134.8,133.8,133.9,134.4,-,-
Linen supply,812331,65.6,67.5,66.5,66.7,67.2,-,-
Industrial launderers,812332,66.1,67.3,67.3,67.2,67.2,-,-
Other personal services,8129,433.6,440.4,435.8,436.2,437,-,-
Pet care (except veterinary) services,81291,191.4,196,190.9,189.5,192.9,-,-
Parking lots and garages,81293,138.7,140.7,141.9,142.4,141.2,-,-
Photofinishing and all other personal services,"81292,9",103.5,103.7,103,104.3,102.9,-,-
"Religious, grantmaking, civic, professional, and similar organizations",813,2905.6,2968.4,2922,2927.2,2932.4,2928.9,-3.5
Grantmaking and giving services,8132,206.9,209.3,210.9,214.6,217.5,-,-
Grantmaking foundations,813211,119.5,120.4,122.6,124.9,125.1,-,-
Voluntary health organizations,813212,40.3,40.1,39.4,39.8,41,-,-
Other grantmaking and giving services,813219,47.1,48.8,48.9,49.9,51.4,-,-
Social advocacy organizations,8133,284.1,294.5,287.2,288.7,289.4,-,-
Human rights organizations,813311,59.3,58.3,57.8,59,60.1,-,-
"Environment, conservation, wildlife, and other social advocacy organizations","813312,9",224.8,236.2,229.4,229.7,229.3,-,-
Civic and social organizations,8134,362.5,397.8,366.4,370.9,371.7,-,-
"Business, professional, labor, political, and similar organizations",8139,478.1,492.8,483.5,479,479.8,-,-
Business associations,81391,118.9,114.8,113.7,115.5,116.1,-,-
Professional organizations,81392,88.1,91.2,89.5,88,88.7,-,-
Labor unions and similar labor organizations,81393,105.1,99.7,102.2,101.2,101.5,-,-
"Political and other similar organizations (except business, professional, and labor organizations)","81394,9",166,187.1,178.1,174.3,173.5,-,-
,,,,,,,,
Government,,23843,22704,23587,23707,23812,23686,-126
Federal,,3020,2911,2908,2746,2743,2747,4
"Federal, except U.S. Postal Service",,2414.2,2322.6,2319,2157.9,2148.6,2144.8,-3.8
Federal hospitals,,377.8,368.1,367.6,360.8,360.1,-,-
Department of Defense,,559.3,551.5,552,496.6,493.1,-,-
U.S. Postal Service(4),,606,588.1,589.3,588.5,594.5,601.7,7.2
Other Federal government,,1477.1,1403,1399.4,1300.5,1295.4,-,-
State government,,5608,5215,5561,5629,5646,5563,-83
State government education,,2735.8,2308,2663.3,2738.7,2757.9,2682.8,-75.1
"State government, excluding education",,2872.5,2906.7,2897.4,2890.6,2888.5,2880.3,-8.2
State hospitals,,475.1,484,487.8,488.3,490.2,-,-
State government general administration,,1912.3,1932.1,1923.7,1916.9,1911.2,-,-
Other State government,,485.1,490.6,485.9,485.4,487.1,-,-
Local government,,15215,14578,15118,15332,15423,15376,-47
Local government education,,8448.8,7493.8,8221.4,8459.2,8546.5,8518.6,-27.9
"Local government, excluding education",,6766.1,7083.8,6896.8,6872.8,6876.9,6857.1,-19.8
Local government utilities,,259.3,264.8,263.2,262.9,263.3,-,-
Local government transportation,,304.6,307.4,305.3,306.3,306.2,-,-
Local hospitals,,717.2,736.6,735.4,736.9,738.7,-,-
Local government general administration,,4392.4,4609.5,4470.6,4458.5,4466.8,-,-
Other local government,,1092.6,1165.5,1122.3,1108.2,1101.9,-,-
